rowId,gasDay,zoneCode,zoneName,largeUser,distribution,other,total
3238,2022-11-20,PI,Pilbara,61.4,0,0,61.4
3239,2022-11-20,SW,South-West,263.2,14,17,294.2
3240,2022-11-20,TL,Telfer,6.2,0,0.5,6.7
3241,2022-11-21,DM,Dampier,150.3,0,2.8,153.1
3242,2022-11-21,GO,Goldfields,32.8,0.3,62.8,95.9
3243,2022-11-21,KG,Kalgoorlie,22.9,0.4,0.2,23.5
3244,2022-11-21,KA,Karratha,37.1,0,4.6,41.7
3245,2022-11-21,MT,Metro,263.6,46.4,6.7,316.7
3246,2022-11-21,MW,Mid-West,0,0,4.4,4.4
3247,2022-11-21,PR,Parmelia,1.7,18.2,4.4,24.3
3248,2022-11-21,PI,Pilbara,61.3,0,0,61.3
3249,2022-11-21,SW,South-West,286.2,15.3,14,315.5
3250,2022-11-21,TL,Telfer,6.4,0,0.5,6.9
3251,2022-11-22,DM,Dampier,116.4,0,2.5,118.9
3252,2022-11-22,GO,Goldfields,38.5,0.3,62.9,101.7
3253,2022-11-22,KG,Kalgoorlie,25.9,0.4,0.2,26.5
3254,2022-11-22,KA,Karratha,37,0,4.7,41.7
3255,2022-11-22,MT,Metro,289.6,45.4,7.2,342.2
3256,2022-11-22,MW,Mid-West,0,0,4.4,4.4
3257,2022-11-22,PR,Parmelia,1.7,17.5,3.5,22.7
3258,2022-11-22,PI,Pilbara,56.4,0,0,56.4
3259,2022-11-22,SW,South-West,319.9,15,10.6,345.5
3260,2022-11-22,TL,Telfer,7.8,0,0.5,8.3
3261,2022-11-23,DM,Dampier,154.9,0,2.4,157.3
3262,2022-11-23,GO,Goldfields,38.9,0.3,56.8,96
3263,2022-11-23,KG,Kalgoorlie,25.2,0.4,0,25.6
3264,2022-11-23,KA,Karratha,40.8,0,4.1,44.9
3265,2022-11-23,MT,Metro,289.1,46.4,9.2,344.7
3266,2022-11-23,MW,Mid-West,0,0,4.5,4.5
3267,2022-11-23,PR,Parmelia,1.6,18.4,4,24
3268,2022-11-23,PI,Pilbara,64.7,0,0,64.7
3269,2022-11-23,SW,South-West,316,14.8,13.4,344.2
3270,2022-11-23,TL,Telfer,11.4,0,0.5,11.9
3271,2022-11-24,DM,Dampier,170.7,0,2.6,173.3
3272,2022-11-24,GO,Goldfields,39.1,0.4,59.8,99.3
3273,2022-11-24,KG,Kalgoorlie,21.9,0.4,0,22.3
3274,2022-11-24,KA,Karratha,39.8,0,4.5,44.3
